rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
155	C9H14O4	[M - H]-	C9H14O4	74.660120258543	69.29597003277068	5.364150225772321	10	0.9515271778315162	1.255240259702172	2.589595617440809	1.3914039515563579		185.08219	253.48	228_LimoneneNegative_231
156	C19H28O10	[M - H]-	C19H28O10	74.39415133471798	70.53538698060467	3.858764354113302	26	0.9215462017894999	1.5509237985685767	2.97697611231151	0.40792857097957824		415.16114	624.59	366_LimoneneNegative_369
157	C8H14O6	[M - H]-	C8H14O6	74.33317158534228	69.04176628390182	5.291405301440461	19	0.9317393990355742	1.136859755583264	1.9677621510203676	0.3817398359661402		205.07184	64.34	31_LimoneneNegative_31
158	C9H14O5	[M - H]-	C9H14O5	74.1235237679557	70.93580491465906	3.187718853296649	19	0.9092930059900445	1.4343860071285894	2.9227520318121103	1.3572110569561926		201.07712	298.95	257_LimoneneNegative_260
159	C8H10O5	[M - H]-	C8H10O5	74.10270079856289	71.01141404705476	3.0912867515081404	20	0.9316611605138481	0.9558520464855395	2.8808678301123165	1.6916460090475558		185.04586	131.92	115_LimoneneNegative_116
160	C19H28O10	[M - H]-	C19H28O10	73.9409814743738	70.04455892036715	3.896422554006642	24	0.905440473793091	1.7676042302943595	2.7190150166356153	0.3597545226780975		415.16112	637.51	370_LimoneneNegative_373
161	C9H17N2O3S	[M - H]-	C9H17N2O3S	73.75402374109082	72.29120163549378	1.4628221055970405	15	0.5145768639392204	3.0782895530870644	3.6103472422013687	9.513720272001716		232.09092	193.56	174_LimoneneNegative_176
162	C10H14O5	[M - H]-	C10H14O5	73.40619151434142	70.4123667655978	2.993824748743626	23	0.9087976283895717	2.200897953195608	2.9827252834522637	1.6092951599310297		213.07719	197.82	177_LimoneneNegative_180
163	C8H10O6	[M - H]-	C8H10O6	73.3816507448896	70.24404681868998	3.137603926199615	24	0.8784820504811913	0.8284972782008222	1.9037978176275505	1.235630786133617		201.04071	91.6	72_LimoneneNegative_73
164	C5H8O4	[M - H]-	C5H8O4	73.11421489771078	68.33657734526648	4.7776375524443075	12	0.9416954585844303	-2.9019241827335622	3.914936242422471	2.577290539234476		131.03532	53.76	5_LimoneneNegative_5
165	C9H14O4	[M - H]-	C9H14O4	73.08850501879881	67.93257414841827	5.155930870380551	10	0.9523016102356637	1.1248662899035335	3.3318283770294594	1.2293140004373313		185.08216	219.27	200_LimoneneNegative_203
166	C19H30O6	[M - H]-	C19H30O6	72.58236472110589	68.79195825482815	3.7904064662777492	34	0.9253192824450023	1.7546426543279028	1.999992976610053	0.446696990387359		353.19712	762.39	402_LimoneneNegative_405
167	C18H28O11	[M - H]-	C18H28O11	72.36949052879476	68.66620966810663	3.7032808606881256	13	0.8645458153859724	2.588955354219536	3.41159934343585	0.2737312374199928		419.15600	542.94	341_LimoneneNegative_344
168	C10H16O4	[M - H2O - H]-	C10H14O3	72.35017197248871	67.40667277088718	4.943499201601532	20	0.9349986712729205	2.1691432805998234	2.721587782842104	-99455.92859352629		181.08737	416.12	300_LimoneneNegative_303
169	C11H20O7	[M - H]-	C11H20O7	72.11204525212642	66.62497266838957	5.487072583736847	11	0.9394034175089718	0.3322041119416923	2.18916901224034	0.2032280896305836		263.11368	318.27	270_LimoneneNegative_273
170	C8H16O4	[M - H]-	C8H16O4	72.01014908943333	69.0388865906446	2.9712624987887324	16	0.8968279682274248	2.049692136897409	3.482915372233887	1.5274892897119148		175.09785	219.27	199_LimoneneNegative_202
171	C9H16O6	[M - H]-	C9H16O6	71.84139125909363	68.58739141975937	3.2539998393342557	11	0.6063458046080886	0.4026705793838229	2.590565491010629	0.4026705793838229		219.08750	99.99	81_LimoneneNegative_82
172	C10H16O4	[M - H2O - H]-	C10H14O3	71.6692786698697	68.47386048603616	3.195418183833543	11	0.9709923024356281	1.5178615486345348	3.2801512393895926	-99455.5643089609		181.08743	335.57	278_LimoneneNegative_281
173	C8H10O4	[M - H]-	C8H10O4	71.55801011447238	68.46962682318677	3.0883832912856026	18	0.9347714789555852	1.60796288616083	2.965685341556532	-106537.25933610104		169.05097	114.81	98_LimoneneNegative_99
